ID,Mutation_Class,Mutant_Status,Line_Number,Mutation_Type,Test_Name
20: Arithmetic mutation,SourceFile(C:\Users\pawek\RiderProjects\Bankomat\BankomatUJ\common\Account.cs[1073..1088)),Killed,45,Arithmetic mutation,BankomatUJ.Tests.tests.AtmTest.TransferMethodCorrectParameterTest2
20: Arithmetic mutation,SourceFile(C:\Users\pawek\RiderProjects\Bankomat\BankomatUJ\common\Account.cs[1073..1088)),Killed,45,Arithmetic mutation,BankomatUJ.Tests.tests.AtmTest.WithdrawFundsMethodCorrectParameterTest
20: Arithmetic mutation,SourceFile(C:\Users\pawek\RiderProjects\Bankomat\BankomatUJ\common\Account.cs[1073..1088)),Killed,45,Arithmetic mutation,BankomatUJ.Tests.tests.CreditCardTest.WithdrawFundsMethodCorrectParameterTest
21: Block removal mutation,SourceFile(C:\Users\pawek\RiderProjects\Bankomat\BankomatUJ\common\Account.cs[1103..1195)),Ignored,46,Block removal mutation,BankomatUJ.Tests.tests.AccountTest.WithdrawFundsMethodIncorrectParameterTest1
21: Block removal mutation,SourceFile(C:\Users\pawek\RiderProjects\Bankomat\BankomatUJ\common\Account.cs[1103..1195)),Ignored,46,Block removal mutation,BankomatUJ.Tests.tests.AccountTest.WithdrawFundsMethodIncorrectParameterTest2
22: Statement mutation,SourceFile(C:\Users\pawek\RiderProjects\Bankomat\BankomatUJ\common\Account.cs[1118..1184)),Killed,47,Statement mutation,BankomatUJ.Tests.tests.AccountTest.WithdrawFundsMethodIncorrectParameterTest1
22: Statement mutation,SourceFile(C:\Users\pawek\RiderProjects\Bankomat\BankomatUJ\common\Account.cs[1118..1184)),Killed,47,Statement mutation,BankomatUJ.Tests.tests.AccountTest.WithdrawFundsMethodIncorrectParameterTest2
23: String mutation,SourceFile(C:\Users\pawek\RiderProjects\Bankomat\BankomatUJ\common\Account.cs[1146..1182)),Survived,47,String mutation,BankomatUJ.Tests.tests.AccountTest.WithdrawFundsMethodIncorrectParameterTest1
23: String mutation,SourceFile(C:\Users\pawek\RiderProjects\Bankomat\BankomatUJ\common\Account.cs[1146..1182)),Survived,47,String mutation,BankomatUJ.Tests.tests.AccountTest.WithdrawFundsMethodIncorrectParameterTest2
24: SubtractAssignmentExpression to AddAssignmentExpression mutation,SourceFile(C:\Users\pawek\RiderProjects\Bankomat\BankomatUJ\common\Account.cs[1207..1223)),Killed,50,SubtractAssignmentExpression to AddAssignmentExpression mutation,BankomatUJ.Tests.tests.AccountTest.AccountStatusMethodAfterWithdrawFundsTest1
24: SubtractAssignmentExpression to AddAssignmentExpression mutation,SourceFile(C:\Users\pawek\RiderProjects\Bankomat\BankomatUJ\common\Account.cs[1207..1223)),Killed,50,SubtractAssignmentExpression to AddAssignmentExpression mutation,BankomatUJ.Tests.tests.AccountTest.AccountStatusMethodAfterWithdrawFundsTest2
24: SubtractAssignmentExpression to AddAssignmentExpression mutation,SourceFile(C:\Users\pawek\RiderProjects\Bankomat\BankomatUJ\common\Account.cs[1207..1223)),Killed,50,SubtractAssignmentExpression to AddAssignmentExpression mutation,BankomatUJ.Tests.tests.AccountTest.AccountStatusMethodAfterWithdrawFundsTest3
24: SubtractAssignmentExpression to AddAssignmentExpression mutation,SourceFile(C:\Users\pawek\RiderProjects\Bankomat\BankomatUJ\common\Account.cs[1207..1223)),Killed,50,SubtractAssignmentExpression to AddAssignmentExpression mutation,BankomatUJ.Tests.tests.AccountTest.WithdrawFundsMethodCorrectParameterTest1
24: SubtractAssignmentExpression to AddAssignmentExpression mutation,SourceFile(C:\Users\pawek\RiderProjects\Bankomat\BankomatUJ\common\Account.cs[1207..1223)),Killed,50,SubtractAssignmentExpression to AddAssignmentExpression mutation,BankomatUJ.Tests.tests.AccountTest.WithdrawFundsMethodCorrectParameterTest2
24: SubtractAssignmentExpression to AddAssignmentExpression mutation,SourceFile(C:\Users\pawek\RiderProjects\Bankomat\BankomatUJ\common\Account.cs[1207..1223)),Killed,50,SubtractAssignmentExpression to AddAssignmentExpression mutation,BankomatUJ.Tests.tests.AccountTest.WithdrawFundsMethodCorrectParameterTest3
24: SubtractAssignmentExpression to AddAssignmentExpression mutation,SourceFile(C:\Users\pawek\RiderProjects\Bankomat\BankomatUJ\common\Account.cs[1207..1223)),Killed,50,SubtractAssignmentExpression to AddAssignmentExpression mutation,BankomatUJ.Tests.tests.AtmTest.TransferMethodCorrectParameterTest1
24: SubtractAssignmentExpression to AddAssignmentExpression mutation,SourceFile(C:\Users\pawek\RiderProjects\Bankomat\BankomatUJ\common\Account.cs[1207..1223)),Killed,50,SubtractAssignmentExpression to AddAssignmentExpression mutation,BankomatUJ.Tests.tests.AtmTest.TransferMethodCorrectParameterTest2
24: SubtractAssignmentExpression to AddAssignmentExpression mutation,SourceFile(C:\Users\pawek\RiderProjects\Bankomat\BankomatUJ\common\Account.cs[1207..1223)),Killed,50,SubtractAssignmentExpression to AddAssignmentExpression mutation,BankomatUJ.Tests.tests.AtmTest.WithdrawFundsMethodCorrectParameterTest
24: SubtractAssignmentExpression to AddAssignmentExpression mutation,SourceFile(C:\Users\pawek\RiderProjects\Bankomat\BankomatUJ\common\Account.cs[1207..1223)),Killed,50,SubtractAssignmentExpression to AddAssignmentExpression mutation,BankomatUJ.Tests.tests.CreditCardTest.WithdrawFundsMethodCorrectParameterTest
25: Block removal mutation,SourceFile(C:\Users\pawek\RiderProjects\Bankomat\BankomatUJ\common\Atm.cs[548..727)),Ignored,21,Block removal mutation,BankomatUJ.Tests.tests.AtmTest.CheckPinAndLogInMethodCorrectParameterTest
25: Block removal mutation,SourceFile(C:\Users\pawek\RiderProjects\Bankomat\BankomatUJ\common\Atm.cs[548..727)),Ignored,21,Block removal mutation,BankomatUJ.Tests.tests.AtmTest.CheckPinAndLogInMethodIncorrectParameterTest1
25: Block removal mutation,SourceFile(C:\Users\pawek\RiderProjects\Bankomat\BankomatUJ\common\Atm.cs[548..727)),Ignored,21,Block removal mutation,BankomatUJ.Tests.tests.AtmTest.CheckPinAndLogInMethodIncorrectParameterTest2
25: Block removal mutation,SourceFile(C:\Users\pawek\RiderProjects\Bankomat\BankomatUJ\common\Atm.cs[548..727)),Ignored,21,Block removal mutation,BankomatUJ.Tests.tests.AtmTest.CheckPinAndLogInMethodIncorrectParameterTest3
26: Equality mutation,SourceFile(C:\Users\pawek\RiderProjects\Bankomat\BankomatUJ\common\Atm.cs[563..581)),Killed,22,Equality mutation,BankomatUJ.Tests.tests.AtmTest.CheckPinAndLogInMethodCorrectParameterTest
26: Equality mutation,SourceFile(C:\Users\pawek\RiderProjects\Bankomat\BankomatUJ\common\Atm.cs[563..581)),Killed,22,Equality mutation,BankomatUJ.Tests.tests.AtmTest.CheckPinAndLogInMethodIncorrectParameterTest1
26: Equality mutation,SourceFile(C:\Users\pawek\RiderProjects\Bankomat\BankomatUJ\common\Atm.cs[563..581)),Killed,22,Equality mutation,BankomatUJ.Tests.tests.AtmTest.CheckPinAndLogInMethodIncorrectParameterTest2
